Year,Team,Value
2010,Arizona Diamondbacks,1.048941799
2011,Arizona Diamondbacks,1.144345238
2012,Arizona Diamondbacks,1.170992366
2013,Arizona Diamondbacks,0.974248927
2014,Arizona Diamondbacks,1.128571429
2015,Arizona Diamondbacks,1.061870504
2016,Arizona Diamondbacks,1.224932249
2017,Arizona Diamondbacks,1.161151079
2018,Arizona Diamondbacks,1.056923077
2019,Arizona Diamondbacks,0.977128335
2010,Atlanta Braves,1.00723589
2011,Atlanta Braves,0.952978056
2012,Atlanta Braves,1.037617555
2013,Atlanta Braves,0.92238806
2014,Atlanta Braves,0.940298507
2015,Atlanta Braves,0.9375
2016,Atlanta Braves,1.062409289
2017,Atlanta Braves,0.975826972
2018,Atlanta Braves,1.132939439
2019,Atlanta Braves,1.023427867
2010,Baltimore Orioles,1.111782477
2011,Baltimore Orioles,0.994910941
2012,Baltimore Orioles,1.173192771
2013,Baltimore Orioles,1.056577086
2014,Baltimore Orioles,0.995594714
2015,Baltimore Orioles,1.179844961
2016,Baltimore Orioles,0.953145917
2017,Baltimore Orioles,1.025575448
2018,Baltimore Orioles,0.981675393
2019,Baltimore Orioles,1.087912088
2010,Boston Red Sox,1.088
2011,Boston Red Sox,1.172506739
2012,Boston Red Sox,1.206303725
2013,Boston Red Sox,0.981707317
2014,Boston Red Sox,1.072196621
2015,Boston Red Sox,1.191240876
2016,Boston Red Sox,1.183561644
2017,Boston Red Sox,1.028493894
2018,Boston Red Sox,1.041871921
2019,Boston Red Sox,1.014319809
2010,Chicago Cubs,1.170403587
2011,Chicago Cubs,0.934156379
2012,Chicago Cubs,1.02359882
2013,Chicago Cubs,1.191850594
2014,Chicago Cubs,0.947368421
2015,Chicago Cubs,0.978229318
2016,Chicago Cubs,0.826617827
2017,Chicago Cubs,1.111553785
2018,Chicago Cubs,1.09672619
2019,Chicago Cubs,0.940127389
2010,Chicago White Sox,1.134897361
2011,Chicago White Sox,0.991215227
2012,Chicago White Sox,1.267515924
2013,Chicago White Sox,0.998487141
2014,Chicago White Sox,1.052098408
2015,Chicago White Sox,0.910791367
2016,Chicago White Sox,0.936726272
2017,Chicago White Sox,1.002624672
2018,Chicago White Sox,0.943152455
2019,Chicago White Sox,0.958121827
2010,Cincinnati Reds,0.989333333
2011,Cincinnati Reds,1.081545064
2012,Cincinnati Reds,1.122749591
2013,Cincinnati Reds,0.99072643
2014,Cincinnati Reds,0.98699187
2015,Cincinnati Reds,1.119335347
2016,Cincinnati Reds,0.989860583
2017,Cincinnati Reds,1.01992528
2018,Cincinnati Reds,1.127808989
2019,Cincinnati Reds,1.007215007
2010,Cleveland Indians,0.947075209
2011,Cleveland Indians,0.959839357
2012,Cleveland Indians,0.899497487
