Year,Team,Value
2010,Arizona Diamondbacks,1.195121951
2011,Arizona Diamondbacks,1.166666667
2012,Arizona Diamondbacks,1.037037037
2013,Arizona Diamondbacks,1.096774194
2014,Arizona Diamondbacks,1.089285714
2015,Arizona Diamondbacks,0.811764706
2016,Arizona Diamondbacks,1.467532468
2017,Arizona Diamondbacks,1.182692308
2018,Arizona Diamondbacks,0.833333333
2010,Atlanta Braves,1.151515152
2011,Atlanta Braves,1.084337349
2012,Atlanta Braves,0.886075949
2013,Atlanta Braves,0.957446809
2014,Atlanta Braves,1.016393443
2015,Atlanta Braves,0.923076923
2016,Atlanta Braves,0.742857143
2017,Atlanta Braves,0.875
2018,Atlanta Braves,0.824742268
2010,Baltimore Orioles,1.180327869
2011,Baltimore Orioles,1.247058824
2012,Baltimore Orioles,1.411111111
2013,Baltimore Orioles,1.18556701
2014,Baltimore Orioles,1.047169811
2015,Baltimore Orioles,1.465909091
2016,Baltimore Orioles,1.073770492
2017,Baltimore Orioles,1.391752577
2018,Baltimore Orioles,1.136363636
2010,Boston Red Sox,0.876106195
2011,Boston Red Sox,0.8125
2012,Boston Red Sox,1.142857143
2013,Boston Red Sox,0.918367347
2014,Boston Red Sox,0.662162162
2015,Boston Red Sox,0.987654321
2016,Boston Red Sox,0.935779817
2017,Boston Red Sox,0.821052632
2018,Boston Red Sox,0.875
2010,Chicago Cubs,0.986666667
2011,Chicago Cubs,0.973333333
2012,Chicago Cubs,0.902777778
2013,Chicago Cubs,1.457142857
2014,Chicago Cubs,0.795454545
2015,Chicago Cubs,1.283950617
2016,Chicago Cubs,0.809917355
2017,Chicago Cubs,1.09009009
2018,Chicago Cubs,0.897727273
2010,Chicago White Sox,1.681818182
2011,Chicago White Sox,1.264705882
2012,Chicago White Sox,1.318681319
2013,Chicago White Sox,1.208955224
2014,Chicago White Sox,0.913580247
2015,Chicago White Sox,1.158730159
2016,Chicago White Sox,0.988235294
2017,Chicago White Sox,1.137931034
2018,Chicago White Sox,0.82
2010,Cincinnati Reds,1.159090909
2011,Cincinnati Reds,1.346153846
2012,Cincinnati Reds,1.458333333
2013,Cincinnati Reds,1.123287671
2014,Cincinnati Reds,1.5
2015,Cincinnati Reds,1.139240506
2016,Cincinnati Reds,1.157894737
2017,Cincinnati Reds,1.147058824
2018,Cincinnati Reds,1.324324324
2010,Cleveland Indians,1
2011,Cleveland Indians,1.369230769
2012,Cleveland Indians,0.888888889
2013,Cleveland Indians,1.035714286
2014,Cleveland Indians,1.028571429
2015,Cleveland Indians,0.7625
2016,Cleveland Indians,1.159574468
2017,Cleveland Indians,0.823529412
2018,Cleveland Indians,1.028571429
2010,Colorado Rockies,1.661538462
2011,Colorado Rockies,1.362318841
2012,Colorado Rockies,1.515151515
2013,Colorado Rockies,1.23943662
2014,Colorado Rockies,1.776119403
2015,Colorado Rockies,1.214285714
2016,Colorado Rockies,1.318181818
2017,Colorado Rockies,1.341463415
2018,Colorado Rockies,1.307692308
2010,Detroit Tigers,0.853658537
2011,Detroit Tigers,1.223529412
2012,Detroit Tigers,1.351351351
2013,Detroit Tigers,0.989010989
2014,Detroit Tigers,0.904761905
2015,Detroit Tigers,0.841463415
2016,Detroit Tigers,0.90990991
2017,Detroit Tigers,1.397435897
2018,Detroit Tigers,0.901408451
2010,Houston Astros,1.4
2011,Houston Astros,0.93877551
2012,Houston Astros,1.179104478
2013,Houston Astros,1.208955224
2014,Houston Astros,1.232876712
2015,Houston Astros,1.254716981
2016,Houston Astros,0.97
2017,Houston Astros,1.007575758
2018,Houston Astros,0.840336134
2010,Kansas City Royals,0.983606557
2011,Kansas City Royals,0.697368421
2012,Kansas City Royals,0.898550725
2013,Kansas City Royals,0.964912281
2014,Kansas City Royals,0.844827586
2015,Kansas City Royals,0.835294118
2016,Kansas City Royals,0.771084337
2017,Kansas City Royals,0.838095238
2018,Kansas City Royals,0.761363636
2010,Los Angeles Angels,0.802325581
2011,Los Angeles Angels,0.666666667
2012,Los Angeles Angels,0.780952381
2013,Los Angeles Angels,0.885057471
2014,Los Angeles Angels,0.892857143
2015,Los Angeles Angels,1.146341463
2016,Los Angeles Angels,1.08
2017,Los Angeles Angels,1.08988764
2018,Los Angeles Angels,1.14
2010,Los Angeles Dodgers,1.033898305
2011,Los Angeles Dodgers,0.828125
2012,Los Angeles Dodgers,1.035087719
2013,Los Angeles Dodgers,0.986666667
2014,Los Angeles Dodgers,1.193548387
2015,Los Angeles Dodgers,1.031914894
2016,Los Angeles Dodgers,1.117021277
2017,Los Angeles Dodgers,1.06779661
2018,Los Angeles Dodgers,1.057377049
2010,Miami Marlins,0.771084337
2011,Miami Marlins,0.935064935
2012,Miami Marlins,0.670731707
2013,Miami Marlins,0.610169492
2014,Miami Marlins,0.936507937
2015,Miami Marlins,0.791044776
2016,Miami Marlins,0.84057971
2017,Miami Marlins,0.979591837
2018,Miami Marlins,0.706666667
2010,Milwaukee Brewers,1.219512195
2011,Milwaukee Brewers,1.302325581
2012,Milwaukee Brewers,1.43373494
2013,Milwaukee Brewers,1.093333333
2014,Milwaukee Brewers,1.054794521
2015,Milwaukee Brewers,1.101449275
2016,Milwaukee Brewers,1.108695652
2017,Milwaukee Brewers,1.036363636
2018,Milwaukee Brewers,1.130841121
2010,Minnesota Twins,0.6
2011,Minnesota Twins,0.807017544
2012,Minnesota Twins,1.112903226
2013,Minnesota Twins,0.819277108
2014,Minnesota Twins,1.098360656
2015,Minnesota Twins,1.197183099
2016,Minnesota Twins,0.960784314
2017,Minnesota Twins,1.145833333
2018,Minnesota Twins,1.0625
2010,New York Mets,1
2011,New York Mets,0.862068966
2012,New York Mets,0.930555556
2013,New York Mets,0.845070423
2014,New York Mets,0.893939394
2015,New York Mets,0.96039604
2016,New York Mets,1.056603774
2017,New York Mets,0.821138211
2018,New York Mets,0.789473684
2010,New York Yankees,1.32967033
2011,New York Yankees,1.27
2012,New York Yankees,1.311926606
2013,New York Yankees,1.086956522
2014,New York Yankees,1.491525424
2015,New York Yankees,1.163265306
2016,New York Yankees,1.541666667
2017,New York Yankees,1.351851852
2018,New York Yankees,1.125
2010,Oakland Athletics,0.73015873
2011,Oakland Athletics,0.78125
2012,Oakland Athletics,0.857142857
2013,Oakland Athletics,0.785046729
2014,Oakland Athletics,1.027777778
2015,Oakland Athletics,0.697674419
2016,Oakland Athletics,0.656862745
2017,Oakland Athletics,1.228571429
2018,Oakland Athletics,0.669117647
2010,Philadelphia Phillies,1.236842105
2011,Philadelphia Phillies,1.025974026
2012,Philadelphia Phillies,1.078947368
2013,Philadelphia Phillies,1.5
2014,Philadelphia Phillies,1.049180328
2015,Philadelphia Phillies,1.24137931
2016,Philadelphia Phillies,0.939759036
2017,Philadelphia Phillies,1.485714286
2018,Philadelphia Phillies,1.256097561
2010,Pittsburgh Pirates,1.032258065
2011,Pittsburgh Pirates,0.844827586
2012,Pittsburgh Pirates,0.650485437
2013,Pittsburgh Pirates,0.736842105
2014,Pittsburgh Pirates,0.62
2015,Pittsburgh Pirates,1.058823529
2016,Pittsburgh Pirates,0.843373494
2017,Pittsburgh Pirates,0.923076923
2018,Pittsburgh Pirates,0.706521739
2010,San Diego Padres,0.808219178
2011,San Diego Padres,1.022222222
2012,San Diego Padres,0.635135135
2013,San Diego Padres,0.825
2014,San Diego Padres,0.981818182
2015,San Diego Padres,1
2016,San Diego Padres,0.882978723
2017,San Diego Padres,0.898989899
2018,San Diego Padres,0.962962963
2010,San Francisco Giants,0.804123711
2011,San Francisco Giants,0.53164557
2012,San Francisco Giants,0.4625
2013,San Francisco Giants,0.698412698
2014,San Francisco Giants,0.674698795
2015,San Francisco Giants,0.638554217
2016,San Francisco Giants,0.733333333
2017,San Francisco Giants,0.6
2018,San Francisco Giants,0.821917808
2010,Seattle Mariners,0.53030303
2011,Seattle Mariners,1.018518519
2012,Seattle Mariners,0.615384615
2013,Seattle Mariners,0.88
2014,Seattle Mariners,1.158730159
2015,Seattle Mariners,0.833333333
2016,Seattle Mariners,1.08411215
2017,Seattle Mariners,0.941747573
2018,Seattle Mariners,0.913043478
2010,St. Louis Cardinals,0.807228916
2011,St. Louis Cardinals,0.698113208
2012,St. Louis Cardinals,0.931034483
2013,St. Louis Cardinals,0.875
2014,St. Louis Cardinals,1.142857143
2015,St. Louis Cardinals,0.802469136
2016,St. Louis Cardinals,0.859504132
2017,St. Louis Cardinals,0.857142857
2018,St. Louis Cardinals,0.680327869
2010,Tampa Bay Rays,0.918604651
2011,Tampa Bay Rays,0.864583333
2012,Tampa Bay Rays,0.88172043
2013,Tampa Bay Rays,0.965116279
2014,Tampa Bay Rays,0.772727273
2015,Tampa Bay Rays,0.941860465
2016,Tampa Bay Rays,0.911504425
2017,Tampa Bay Rays,0.868852459
2018,Tampa Bay Rays,0.851851852
2010,Texas Rangers,1.275
2011,Texas Rangers,1.442105263
2012,Texas Rangers,1.173913043
2013,Texas Rangers,0.934065934
2014,Texas Rangers,0.85
2015,Texas Rangers,1.108433735
2016,Texas Rangers,0.903508772
2017,Texas Rangers,1.116071429
2018,Texas Rangers,1.204545455
2010,Toronto Blue Jays,1.401869159
2011,Toronto Blue Jays,1.240963855
2012,Toronto Blue Jays,1.0625
2013,Toronto Blue Jays,1.055555556
2014,Toronto Blue Jays,1.240506329
2015,Toronto Blue Jays,1.139130435
2016,Toronto Blue Jays,0.925
2017,Toronto Blue Jays,0.897435897
2018,Toronto Blue Jays,1.12745098
2010,Washington Nationals,0.986666667
2011,Washington Nationals,1.169014085
2012,Washington Nationals,1.115789474
2013,Washington Nationals,0.769230769
2014,Washington Nationals,0.714285714
2015,Washington Nationals,1.081395349
2016,Washington Nationals,1.009708738
2017,Washington Nationals,1.027522936
2018,Washington Nationals,1.031578947
2019,Los Angeles Angels,0
2019,St. Louis Cardinals,0
2019,Arizona Diamondbacks,0
2019,New York Mets,0
2019,Philadelphia Phillies,0
2019,Detroit Tigers,0
2019,Colorado Rockies,0
2019,Los Angeles Dodgers,0
2019,Boston Red Sox,0
2019,Texas Rangers,0
2019,Cincinnati Reds,0
2019,Chicago White Sox,0
2019,Kansas City Royals,0
2019,Miami Marlins,0
2019,Milwaukee Brewers,0
2019,Houston Astros,0
2019,Washington Nationals,0
2019,Oakland Athletics,0
2019,San Francisco Giants,0
2019,Baltimore Orioles,0
2019,San Diego Padres,0
2019,Pittsburgh Pirates,0
2019,Cleveland Indians,0
2019,Toronto Blue Jays,0
2019,Atlanta Braves,0
2019,Seattle Mariners,0
2019,Minnesota Twins,0
2019,Tampa Bay Rays,0
2019,Chicago Cubs,0
2019,New York Yankees,0
