Date,GameType,AwayScore,AwayTeam,HomeScore,HomeTeam,VenueName,AwayHR,HomeHR
2010-04-04,Regular Season,7,New York Yankees,9,Boston Red Sox,Fenway Park,2,1
2010-04-05,Regular Season,11,Philadelphia Phillies,1,Washington Nationals,Nationals Park,2,0
2010-04-05,Regular Season,1,Florida Marlins,7,New York Mets,Citi Field,0,1
2010-04-05,Regular Season,11,St. Louis Cardinals,6,Cincinnati Reds,Great American Ball Park,4,2
2010-04-05,Regular Season,5,Los Angeles Dodgers,11,Pittsburgh Pirates,PNC Park,0,3
2010-04-05,Regular Season,0,Cleveland Indians,6,Chicago White Sox,U.S. Cellular Field,0,2
2010-04-05,Regular Season,4,Toronto Blue Jays,5,Texas Rangers,Rangers Ballpark in Arlington,2,1
2010-04-05,Regular Season,5,Colorado Rockies,3,Milwaukee Brewers,Miller Park,1,1
2010-04-05,Regular Season,5,Chicago Cubs,16,Atlanta Braves,Turner Field,2,2
2010-04-05,Regular Season,8,Detroit Tigers,4,Kansas City Royals,Kauffman Stadium,0,1
2010-04-05,Regular Season,3,San Diego Padres,6,Arizona Diamondbacks,Chase Field,2,2
2010-04-05,Regular Season,5,San Francisco Giants,2,Houston Astros,Minute Maid Park,1,0
2010-04-05,Regular Season,5,Seattle Mariners,3,Oakland Athletics,Oakland Coliseum,1,0
2010-04-05,Regular Season,3,Minnesota Twins,6,Los Angeles Angels,Angel Stadium of Anaheim,1,3
2010-04-06,Regular Season,3,Baltimore Orioles,4,Tampa Bay Rays,Tropicana Field,3,1
2010-04-06,Regular Season,6,New York Yankees,4,Boston Red Sox,Fenway Park,1,1
2010-04-06,Regular Season,3,San Francisco Giants,0,Houston Astros,Minute Maid Park,0,0
2010-04-06,Regular Season,5,Colorado Rockies,7,Milwaukee Brewers,Miller Park,1,2
2010-04-06,Regular Season,6,San Diego Padres,3,Arizona Diamondbacks,Chase Field,2,0
2010-04-06,Regular Season,5,Minnesota Twins,3,Los Angeles Angels,Angel Stadium of Anaheim,3,1
2010-04-06,Regular Season,1,Seattle Mariners,2,Oakland Athletics,Oakland Coliseum,0,1
2010-04-07,Regular Season,4,Colorado Rockies,5,Milwaukee Brewers,Miller Park,1,0
2010-04-07,Regular Season,10,San Francisco Giants,4,Houston Astros,Minute Maid Park,2,0
2010-04-07,Regular Season,3,Los Angeles Dodgers,4,Pittsburgh Pirates,PNC Park,1,1
2010-04-07,Regular Season,8,Philadelphia Phillies,4,Washington Nationals,Nationals Park,1,1
2010-04-07,Regular Season,3,Baltimore Orioles,4,Tampa Bay Rays,Tropicana Field,0,1
2010-04-07,Regular Season,2,Chicago Cubs,3,Atlanta Braves,Turner Field,0,1
2010-04-07,Regular Season,7,Florida Marlins,6,New York Mets,Citi Field,3,0
2010-04-07,Regular Season,3,New York Yankees,1,Boston Red Sox,Fenway Park,1,0
2010-04-07,Regular Season,6,St. Louis Cardinals,3,Cincinnati Reds,Great American Ball Park,0,1
2010-04-07,Regular Season,7,Toronto Blue Jays,4,Texas Rangers,Rangers Ballpark in Arlington,3,2
2010-04-07,Regular Season,5,Cleveland Indians,3,Chicago White Sox,U.S. Cellular Field,0,1
2010-04-07,Regular Season,2,Detroit Tigers,3,Kansas City Royals,Kauffman Stadium,1,1
2010-04-07,Regular Season,3,San Diego Padres,5,Arizona Diamondbacks,Chase Field,1,4
2010-04-07,Regular Season,4,Minnesota Twins,2,Los Angeles Angels,Angel Stadium of Anaheim,2,0
2010-04-07,Regular Season,5,Seattle Mariners,6,Oakland Athletics,Oakland Coliseum,1,1
2010-04-08,Regular Season,10,Los Angeles Dodgers,2,Pittsburgh Pirates,PNC Park,1,0
2010-04-08,Regular Season,1,St. Louis Cardinals,2,Cincinnati Reds,Great American Ball Park,1,1
2010-04-08,Regular Season,3,Toronto Blue Jays,1,Texas Rangers,Rangers Ballpark in Arlington,1,0
2010-04-08,Regular Season,7,Detroit Tigers,3,Kansas City Royals,Kauffman Stadium,2,0
2010-04-08,Regular Season,2,Seattle Mariners,6,Oakland Athletics,Oakland Coliseum,0,0
2010-04-08,Regular Season,5,Philadelphia Phillies,6,Washington Nationals,Nationals Park,0,1
2010-04-08,Regular Season,5,Baltimore Orioles,4,Tampa Bay Rays,Tropicana Field,1,0
2010-04-08,Regular Season,2,Chicago Cubs,0,Atlanta Braves,Turner Field,2,0
2010-04-08,Regular Season,3,Florida Marlins,1,New York Mets,Citi Field,0,0
2010-04-08,Regular Season,5,Cleveland Indians,3,Chicago White Sox,U.S. Cellular Field,0,1
2010-04-08,Regular Season,10,Minnesota Twins,1,Los Angeles Angels,Angel Stadium of Anaheim,3,0
2010-04-09,Regular Season,2,Cleveland Indians,5,Detroit Tigers,Comerica Park,1,0
2010-04-09,Regular Season,7,Toronto Blue Jays,6,Baltimore Orioles,Oriole Park at Camden Yards,1,1
2010-04-09,Regular Season,0,San Diego Padres,7,Colorado Rockies,Coors Field,0,1
2010-04-09,Regular Season,4,Atlanta Braves,5,San Francisco Giants,AT&T Park,0,1
2010-04-09,Regular Season,7,Los Angeles Dodgers,3,Florida Marlins,Sun Life Stadium,0,0
2010-04-09,Regular Season,3,New York Yankees,9,Tampa Bay Rays,Tropicana Field,0,2
2010-04-09,Regular Season,2,Washington Nationals,8,New York Mets,Citi Field,0,4
2010-04-09,Regular Season,4,Chicago Cubs,5,Cincinnati Reds,Great American Ball Park,1,1
2010-04-09,Regular Season,8,Philadelphia Phillies,0,Houston Astros,Minute Maid Park,1,0
2010-04-09,Regular Season,2,Seattle Mariners,6,Texas Rangers,Rangers Ballpark in Arlington,1,1
2010-04-09,Regular Season,4,Minnesota Twins,3,Chicago White Sox,U.S. Cellular Field,0,0
2010-04-09,Regular Season,5,St. Louis Cardinals,4,Milwaukee Brewers,Miller Park,2,0
2010-04-09,Regular Season,3,Boston Red Sox,4,Kansas City Royals,Kauffman Stadium,1,2
2010-04-09,Regular Season,1,Pittsburgh Pirates,9,Arizona Diamondbacks,Chase Field,0,1
2010-04-09,Regular Season,10,Oakland Athletics,4,Los Angeles Angels,Angel Stadium of Anaheim,1,2
2010-04-10,Regular Season,2,Cleveland Indians,4,Detroit Tigers,Comerica Park,0,1
2010-04-10,Regular Season,2,Minnesota Twins,1,Chicago White Sox,U.S. Cellular Field,1,0
2010-04-10,Regular Season,4,Chicago Cubs,3,Cincinnati Reds,Great American Ball Park,3,1
2010-04-10,Regular Season,4,Washington Nationals,3,New York Mets,Citi Field,0,0
2010-04-10,Regular Season,10,New York Yankees,0,Tampa Bay Rays,Tropicana Field,1,0
2010-04-10,Regular Season,4,Seattle Mariners,3,Texas Rangers,Rangers Ballpark in Arlington,0,1
2010-04-10,Regular Season,7,St. Louis Cardinals,1,Milwaukee Brewers,Miller Park,2,0
2010-04-10,Regular Season,9,Philadelphia Phillies,6,Houston Astros,Minute Maid Park,2,2
2010-04-10,Regular Season,3,Toronto Blue Jays,0,Baltimore Orioles,Oriole Park at Camden Yards,0,0
2010-04-10,Regular Season,8,Boston Red Sox,3,Kansas City Royals,Kauffman Stadium,5,0
2010-04-10,Regular Season,6,Los Angeles Dodgers,7,Florida Marlins,Sun Life Stadium,1,1
2010-04-10,Regular Season,6,Pittsburgh Pirates,3,Arizona Diamondbacks,Chase Field,2,1
2010-04-10,Regular Season,5,San Diego Padres,4,Colorado Rockies,Coors Field,0,3
2010-04-10,Regular Season,3,Oakland Athletics,4,Los Angeles Angels,Angel Stadium of Anaheim,1,0
2010-04-10,Regular Season,7,Atlanta Braves,2,San Francisco Giants,AT&T Park,1,0
2010-04-11,Regular Season,8,Cleveland Indians,9,Detroit Tigers,Comerica Park,3,0
2010-04-11,Regular Season,1,Chicago Cubs,3,Cincinnati Reds,Great American Ball Park,0,0
2010-04-11,Regular Season,5,Los Angeles Dodgers,6,Florida Marlins,Sun Life Stadium,0,1
2010-04-11,Regular Season,5,Washington Nationals,2,New York Mets,Citi Field,1,1
2010-04-11,Regular Season,5,Toronto Blue Jays,2,Baltimore Orioles,Oriole Park at Camden Yards,4,0
2010-04-11,Regular Season,7,New York Yankees,3,Tampa Bay Rays,Tropicana Field,2,0
2010-04-11,Regular Season,4,Minnesota Twins,5,Chicago White Sox,U.S. Cellular Field,0,3
2010-04-11,Regular Season,2,Philadelphia Phillies,1,Houston Astros,Minute Maid Park,1,0
2010-04-11,Regular Season,8,Boston Red Sox,6,Kansas City Royals,Kauffman Stadium,1,2
2010-04-11,Regular Season,2,Seattle Mariners,9,Texas Rangers,Rangers Ballpark in Arlington,0,1
2010-04-11,Regular Season,2,San Diego Padres,4,Colorado Rockies,Coors Field,0,1
2010-04-11,Regular Season,9,Oakland Athletics,4,Los Angeles Angels,Angel Stadium of Anaheim,1,2
2010-04-11,Regular Season,3,Atlanta Braves,6,San Francisco Giants,AT&T Park,2,1
2010-04-11,Regular Season,6,Pittsburgh Pirates,15,Arizona Diamondbacks,Chase Field,2,4
2010-04-11,Regular Season,7,St. Louis Cardinals,8,Milwaukee Brewers,Miller Park,3,4
2010-04-12,Regular Season,10,Kansas City Royals,5,Detroit Tigers,Comerica Park,1,1
2010-04-12,Regular Season,5,Milwaukee Brewers,9,Chicago Cubs,Wrigley Field,1,3
2010-04-12,Regular Season,4,Texas Rangers,2,Cleveland Indians,Progressive Field,1,1
2010-04-12,Regular Season,4,Washington Nationals,7,Philadelphia Phillies,Citizens Bank Park,1,1
2010-04-12,Regular Season,2,Boston Red Sox,5,Minnesota Twins,Target Field,0,1
2010-04-12,Regular Season,0,Houston Astros,5,St. Louis Cardinals,Busch Stadium,0,1
2010-04-12,Regular Season,2,Atlanta Braves,17,San Diego Padres,PETCO Park,0,2
2010-04-12,Regular Season,4,Oakland Athletics,0,Seattle Mariners,Safeco Field,1,0
2010-04-12,Regular Season,5,Tampa Bay Rays,1,Baltimore Orioles,Oriole Park at Camden Yards,2,1
2010-04-12,Regular Season,6,Cincinnati Reds,5,Florida Marlins,Sun Life Stadium,3,0
2010-04-12,Regular Season,8,Chicago White Sox,7,Toronto Blue Jays,Rogers Centre,3,2
2010-04-12,Regular Season,3,Pittsburgh Pirates,9,San Francisco Giants,AT&T Park,0,1
2010-04-13,Regular Season,5,Los Angeles Angels,7,New York Yankees,Yankee Stadium,2,2
2010-04-13,Regular Season,5,Kansas City Royals,6,Detroit Tigers,Comerica Park,2,0
2010-04-13,Regular Season,5,Arizona Diamondbacks,9,Los Angeles Dodgers,Dodger Stadium,1,4
2010-04-13,Regular Season,8,Tampa Bay Rays,6,Baltimore Orioles,Oriole Park at Camden Yards,1,3
2010-04-13,Regular Season,2,Chicago White Sox,4,Toronto Blue Jays,Rogers Centre,1,0
2010-04-13,Regular Season,10,Cincinnati Reds,8,Florida Marlins,Sun Life Stadium,2,1
2010-04-13,Regular Season,3,New York Mets,11,Colorado Rockies,Coors Field,1,1
